Image_Name,Image_Resolution,Count,Average_Circularity(ideal circle=0),Average area,Background intensity,Average background intensity ,Average_Viability (%)
image_0..jpg,1210x1290,37,0.492,1124.247,198.5747405,74.02398757,57.84077184
image_1..jpg,1210x1290,51,0.501,799.938,190.0401454,68.46130963,54.8865943
image_10..jpg,1210x1290,30,0.5,1111.131,202.9116909,69.68311318,58.14706452
image_100..jpg,1210x1290,5,0.542,1875.849,130.0264581,44.64020854,9.465157699
image_101..jpg,1210x1290,1,0.38,5103.893,131.160628,4.732286709,4.732286709
image_102..jpg,1210x1290,2,0.425,1217.42,194.0430974,6.630752131,2.313588056
image_103..jpg,1210x1290,1,0.34,5923.082,191.3510615,0,0
image_104..jpg,1210x1290,1,0.25,472.346,195.1618587,0,0
image_105..jpg,1210x1290,2,0.45,348.703,193.9932271,0,0
image_106..jpg,1210x1290,2,0.5,1126.611,188.5901349,0,0
image_107..jpg,1210x1290,0,-1,-1,191.834463,-1,-1
image_108..jpg,1210x1290,0,-1,-1,208.0571027,-1,-1
image_109..jpg,1210x1290,3,0.477,308.998,126.9575212,0,0
image_11..jpg,1210x1290,48,0.515,948.574,194.8083127,74.18852553,71.97064534
image_110..jpg,1210x1290,0,-1,-1,128.1538889,-1,-1
image_111..jpg,1210x1290,3,0.38,783.154,129.6300105,17.84857574,19.66395809
image_112..jpg,1210x1290,4,0.582,104.561,128.537351,0,0
image_113..jpg,1210x1290,2,0.61,903.16,131.3630747,48.91018511,31.23397979
image_114..jpg,1210x1290,4,0.498,354.762,132.4946091,32.6999825,29.21289796
image_115..jpg,1210x1290,0,-1,-1,194.8741677,-1,-1
image_116..jpg,1210x1290,3,0.32,1672.369,171.0986039,14.10441492,8.157130895
image_117..jpg,1210x1290,3,0.52,283.253,199.1559528,33.83931998,31.58166054
image_118..jpg,1210x1290,1,0.77,1084.174,128.6727734,14.17565153,14.17565153
image_119..jpg,1210x1290,1,0.4,854.889,128.3567957,0,0
image_12..jpg,1210x1290,74,0.491,943.62,127.1994487,88.93350148,89.36900181
image_120..jpg,1210x1290,0,-1,-1,199.4566533,-1,-1
image_121..jpg,1210x1290,2,0.675,480.693,126.7291335,26.53670597,42.82513595
image_122..jpg,1210x1290,2,0.645,2482.206,128.6012871,0,0
image_123..jpg,1210x1290,2,0.445,937.753,199.5413218,35.23867378,25.6673601
image_124..jpg,1210x1290,2,0.37,2023.436,187.1215358,12.33379275,2.884689065
image_125..jpg,1210x1290,0,-1,-1,124.1672359,-1,-1
image_126..jpg,1210x1290,0,-1,-1,128.8504992,-1,-1
image_127..jpg,1210x1290,2,0.46,705.452,124.2292225,49.6194556,29.42507987
image_128..jpg,1210x1290,2,0.465,946.251,126.0546796,27.11811083,4.793598364
image_129..jpg,1210x1290,1,0.26,4334.784,123.3897996,7.331188199,7.331188199
image_13..jpg,1210x1290,44,0.494,1242.945,124.5222414,76.72536356,68.24115202
image_130..jpg,1210x1290,0,-1,-1,174.1435789,-1,-1
image_131..jpg,1210x1290,0,-1,-1,170.1560953,-1,-1
image_132..jpg,1210x1290,0,-1,-1,186.9576587,-1,-1
image_133..jpg,1210x1290,1,0.59,2570.701,126.9339806,0,0
image_134..jpg,1210x1290,1,0.56,559.736,123.5805587,16.38794009,16.38794009
image_135..jpg,1210x1290,1,0.47,4210.186,156.3832663,5.249168018,5.249168018
image_136..jpg,1210x1290,2,0.755,2084.578,121.8614268,36.28462912,10.41217989
image_137..jpg,1210x1290,2,0.58,3092.977,163.5708511,32.4088674,7.29527353
image_138..jpg,1210x1290,1,0.7,934.938,170.0061505,17.68366727,17.68366727
image_139..jpg,1210x1290,1,0.7,3255.84,42.75098798,12.46293108,12.46293108
image_14..jpg,1210x1290,84,0.493,684.758,46.58383895,91.58110277,87.19888864
image_140..jpg,1210x1290,0,-1,-1,106.4288172,-1,-1
image_141..jpg,1210x1290,3,0.773,428.165,141.4359237,0,0
image_142..jpg,1210x1290,1,0.66,1058.53,176.3857586,0,0
image_143..jpg,1210x1290,0,-1,-1,199.2582529,-1,-1
image_144..jpg,1210x1290,0,-1,-1,228.1259581,-1,-1
image_145..jpg,1210x1290,1,0.3,358.408,204.6236011,25.11003232,25.11003232
image_146..jpg,1210x1290,2,0.61,954.497,201.9591343,24.0324022,21.78846464
image_147..jpg,1210x1290,6,0.56,688.658,204.310419,9.060203803,4.979936786
image_148..jpg,1210x1290,1,0.64,3620.583,200.7827701,6.897622079,6.897622079
image_149..jpg,1210x1290,2,0.64,183.83,210.6785714,0,0
image_15..jpg,1210x1290,72,0.521,999.061,140.9648011,90.59843491,85.91415118
image_150..jpg,1210x1290,1,0.85,749.398,201.4674874,78.74835336,78.74835336
image_151..jpg,1210x1290,0,-1,-1,206.1503003,-1,-1
image_152..jpg,1210x1290,0,-1,-1,201.2094119,-1,-1
image_153..jpg,1210x1290,0,-1,-1,193.8640861,-1,-1
image_154..jpg,1210x1290,1,0.34,77.434,199.7031333,100,100
image_155..jpg,1210x1290,0,-1,-1,153.354263,-1,-1
image_156..jpg,1210x1290,0,-1,-1,156.2210876,-1,-1
image_157..jpg,1210x1290,3,0.71,611.928,195.2381754,8.650657119,8.684776391
image_158..jpg,1210x1290,0,-1,-1,162.6569717,-1,-1
image_159..jpg,1210x1290,1,0.44,136.565,199.1563821,0,0
image_16..jpg,1210x1290,67,0.453,849.282,155.846614,89.11901785,86.89791736
image_160..jpg,1210x1290,25,0.507,1146.426,196.5482913,32.82783138,28.24670048
image_161..jpg,1210x1290,3,0.517,1042.943,154.1102806,43.1933799,67.13351924
image_162..jpg,1210x1290,20,0.491,927.853,199.1046906,10.04213297,2.067268982
image_163..jpg,1210x1290,13,0.545,952.505,225.9320292,1.159085345,0.493165718
image_164..jpg,1210x1290,29,0.473,639.718,219.691422,7.80615326,2.12326773
image_165..jpg,1210x1290,10,0.5,1601.954,129.4399096,0,0
image_166..jpg,1210x1290,7,0.543,194.777,193.5234499,54.19217695,46.98168461
image_167..jpg,1210x1290,34,0.48,1181.983,151.324236,91.43882301,94.09464333
image_168..jpg,1210x1290,32,0.532,688.73,226.5013425,3.492970062,0.694563963
image_169..jpg,1210x1290,18,0.536,812.278,219.2416466,2.458249924,0.82846372
image_17..jpg,1210x1290,27,0.55,1507.076,220.9958408,67.45461134,69.31382061
image_170..jpg,1210x1290,27,0.493,929.276,122.8872224,19.35454663,3.068673704
image_171..jpg,1210x1290,13,0.587,974.714,217.4937565,0.294470089,0.031930548
image_172..jpg,1210x1290,67,0.561,1218.906,172.9399099,75.70008521,79.93203445
image_173..jpg,1210x1290,61,0.531,981.142,147.36701,81.56713553,80.14196562
image_174..jpg,1210x1290,24,0.543,833.918,146.3692538,19.6031579,5.480102503
image_175..jpg,1210x1290,34,0.548,775.231,201.889375,24.63606413,15.80450313
image_176..jpg,1210x1290,17,0.567,883.934,152.8708051,6.537964298,2.999752621
image_177..jpg,1210x1290,23,0.556,759.603,147.0080896,13.44448264,5.602750813
